"Date","Winner1","Winner Probability","Loser1","Loser Probability","Site","Category","Winner_Actual","Model"
2024-10-11,"Vegas Golden Knights",0.515598729217048,"St. Louis Blues",0.484401270782952,"Playing At:  Vegas Golden Knights   Home","55 >","Vegas Golden Knights",1
2024-10-12,"Edmonton Oilers",0.883108046277151,"Chicago Blackhawks",0.116891953722849,"Playing At:  Edmonton Oilers   Home","85 <","Chicago Blackhawks",0
2024-10-12,"New York Rangers",0.787468356499282,"Arizona Coyotes",0.212531643500718,"Playing At:  New York Rangers   Home","70-80","Arizona Coyotes",0
2024-10-12,"Colorado Avalanche",0.750825762762349,"Columbus Blue Jackets",0.249174237237651,"Playing At:  Colorado Avalanche   Home","70-80","Columbus Blue Jackets",0
2024-10-12,"Dallas Stars",0.74956466374909,"New York Islanders",0.25043533625091,"Playing At:  Dallas Stars   Home","70-80","Dallas Stars",1
2024-10-12,"Toronto Maple Leafs",0.713619655119418,"Pittsburgh Penguins",0.286380344880582,"Playing At:  Toronto Maple Leafs   Home","70-80","Toronto Maple Leafs",1
2024-10-12,"Boston Bruins",0.640898107201337,"Los Angeles Kings",0.359101892798663,"Playing At:  Boston Bruins   Home","60-70","Boston Bruins",1
2024-10-12,"San Jose Sharks",0.633995155086892,"Anaheim Ducks",0.366004844913108,"Playing At:  San Jose Sharks   Home","60-70","Anaheim Ducks",0
2024-10-12,"Florida Panthers",0.619282792662431,"Buffalo Sabres",0.380717207337569,"Playing At:  Buffalo Sabres   Home","60-70","Buffalo Sabres",0
2024-10-12,"Ottawa Senators",0.588781377252123,"Montreal Canadiens",0.411218622747877,"Playing At:  Montreal Canadiens   Home","55-60","Montreal Canadiens",0
2024-10-12,"Minnesota Wild",0.535017958317637,"Seattle Kraken",0.464982041682363,"Playing At:  Minnesota Wild   Home","55 >","Seattle Kraken",0
2024-10-12,"Nashville Predators",0.526686869895516,"Detroit Red Wings",0.473313130104484,"Playing At:  Detroit Red Wings   Home","55 >","Detroit Red Wings",0
2024-10-12,"Calgary Flames",0.518002846304904,"Philadelphia Flyers",0.481997153695096,"Playing At:  Calgary Flames   Home","55 >","Calgary Flames",1
2024-10-13,"Vegas Golden Knights",0.815656731782039,"Anaheim Ducks",0.184343268217961,"Playing At:  Vegas Golden Knights   Home","80-85","Vegas Golden Knights",1
2024-10-13,"Edmonton Oilers",0.798737140620417,"Calgary Flames",0.201262859379583,"Playing At:  Edmonton Oilers   Home","70-80","Calgary Flames",0
2024-10-13,"Dallas Stars",0.697637347007724,"Seattle Kraken",0.302362652992276,"Playing At:  Dallas Stars   Home","60-70","Dallas Stars",1
