"Date","Winner1","Winner Probability","Loser1","Loser Probability","Site","Category","Winner_Actual","Model"
2023-12-09,"St. Louis Blues",0.897936909232978,"Chicago Blackhawks",0.102063090767022,"Playing At:  Chicago Blackhawks   Home","85 <","Chicago Blackhawks",0
2023-12-09,"Colorado Avalanche",0.881429697834314,"Philadelphia Flyers",0.118570302165686,"Playing At:  Colorado Avalanche   Home","85 <","Philadelphia Flyers",0
2023-12-09,"Detroit Red Wings",0.827719379667427,"Ottawa Senators",0.172280620332573,"Playing At:  Detroit Red Wings   Home","80-85","Ottawa Senators",0
2023-12-09,"Calgary Flames",0.808250677566627,"New Jersey Devils",0.191749322433373,"Playing At:  Calgary Flames   Home","80-85","New Jersey Devils",0
2023-12-09,"Carolina Hurricanes",0.729496326616907,"Vancouver Canucks",0.270503673383093,"Playing At:  Vancouver Canucks   Home","70-80","Vancouver Canucks",0
2023-12-09,"Boston Bruins",0.655077249605855,"Arizona Coyotes",0.344922750394145,"Playing At:  Boston Bruins   Home","60-70","Boston Bruins",1
2023-12-09,"Washington Capitals",0.640148632402831,"New York Rangers",0.359851367597169,"Playing At:  Washington Capitals   Home","60-70","Washington Capitals",1
2023-12-09,"Seattle Kraken",0.623367439198033,"Tampa Bay Lightning",0.376632560801967,"Playing At:  Seattle Kraken   Home","60-70","Tampa Bay Lightning",0
2023-12-09,"Los Angeles Kings",0.617038638100152,"New York Islanders",0.382961361899848,"Playing At:  New York Islanders   Home","60-70","New York Islanders",0
2023-12-09,"Nashville Predators",0.615323610856886,"Toronto Maple Leafs",0.384676389143114,"Playing At:  Toronto Maple Leafs   Home","60-70","Toronto Maple Leafs",0
2023-12-09,"Dallas Stars",0.552708028515133,"Vegas Golden Knights",0.447291971484867,"Playing At:  Dallas Stars   Home","55-60","Vegas Golden Knights",0
2023-12-09,"Buffalo Sabres",0.546648178329996,"Montreal Canadiens",0.453351821670004,"Playing At:  Buffalo Sabres   Home","55 >","Montreal Canadiens",0
2023-12-10,"Winnipeg Jets",0.990707891204456,"Anaheim Ducks",0.00929210879554421,"Playing At:  Anaheim Ducks   Home","85 <","Winnipeg Jets",1
2023-12-10,"Washington Capitals",0.877568106792351,"Chicago Blackhawks",0.122431893207649,"Playing At:  Chicago Blackhawks   Home","85 <","Washington Capitals",1
2023-12-10,"Nashville Predators",0.779341772052352,"Montreal Canadiens",0.220658227947648,"Playing At:  Montreal Canadiens   Home","70-80","Nashville Predators",1
2023-12-10,"Seattle Kraken",0.729589897610332,"Minnesota Wild",0.270410102389668,"Playing At:  Seattle Kraken   Home","70-80","Minnesota Wild",0
2023-12-10,"Florida Panthers",0.637498068808027,"Columbus Blue Jackets",0.362501931191973,"Playing At:  Columbus Blue Jackets   Home","60-70","Florida Panthers",1
2023-12-10,"San Jose Sharks",0.637008755134639,"Vegas Golden Knights",0.362991244865361,"Playing At:  Vegas Golden Knights   Home","60-70","Vegas Golden Knights",0
2023-12-10,"Los Angeles Kings",0.529011691447503,"New York Rangers",0.470988308552497,"Playing At:  New York Rangers   Home","55 >","New York Rangers",0
2023-12-10,"Edmonton Oilers",0.524828895152118,"New Jersey Devils",0.475171104847882,"Playing At:  Edmonton Oilers   Home","55 >","Edmonton Oilers",1
2023-12-11,"Dallas Stars",0.865404635119795,"Detroit Red Wings",0.134595364880205,"Playing At:  Dallas Stars   Home","85 <","Dallas Stars",1
2023-12-11,"Arizona Coyotes",0.627552762955305,"Buffalo Sabres",0.372447237044695,"Playing At:  Buffalo Sabres   Home","60-70","Buffalo Sabres",0
2023-12-11,"Colorado Avalanche",0.560790218650038,"Calgary Flames",0.439209781349962,"Playing At:  Colorado Avalanche   Home","55-60","Colorado Avalanche",1
2023-12-11,"New York Islanders",0.504590749642179,"Toronto Maple Leafs",0.495409250357821,"Playing At:  New York Islanders   Home","55 >","New York Islanders",1
2023-12-12,"Arizona Coyotes",0.892418574714327,"Pittsburgh Penguins",0.107581425285673,"Playing At:  Pittsburgh Penguins   Home","85 <","Pittsburgh Penguins",0
2023-12-12,"Edmonton Oilers",0.835607661557727,"Chicago Blackhawks",0.164392338442273,"Playing At:  Edmonton Oilers   Home","80-85","Edmonton Oilers",1
2023-12-12,"Vancouver Canucks",0.798411345265462,"Tampa Bay Lightning",0.201588654734538,"Playing At:  Vancouver Canucks   Home","70-80","Vancouver Canucks",1
2023-12-12,"Winnipeg Jets",0.709874187518921,"San Jose Sharks",0.290125812481079,"Playing At:  San Jose Sharks   Home","70-80","San Jose Sharks",0
2023-12-12,"Calgary Flames",0.704122933032344,"Vegas Golden Knights",0.295877066967656,"Playing At:  Vegas Golden Knights   Home","70-80","Vegas Golden Knights",0
2023-12-12,"New York Rangers",0.675651660599256,"Toronto Maple Leafs",0.324348339400744,"Playing At:  New York Rangers   Home","60-70","Toronto Maple Leafs",0
2023-12-12,"Carolina Hurricanes",0.624798423085861,"Ottawa Senators",0.375201576914139,"Playing At:  Ottawa Senators   Home","60-70","Carolina Hurricanes",1
2023-12-12,"Florida Panthers",0.568268370664574,"Seattle Kraken",0.431731629335426,"Playing At:  Seattle Kraken   Home","55-60","Seattle Kraken",0
2023-12-12,"St. Louis Blues",0.560344494257164,"Detroit Red Wings",0.439655505742836,"Playing At:  St. Louis Blues   Home","55-60","Detroit Red Wings",0
2023-12-12,"Nashville Predators",0.55631664306893,"Philadelphia Flyers",0.44368335693107,"Playing At:  Nashville Predators   Home","55-60","Nashville Predators",1
2023-12-13,"Colorado Avalanche",0.97438003889611,"Buffalo Sabres",0.0256199611038896,"Playing At:  Colorado Avalanche   Home","85 <","Colorado Avalanche",1
2023-12-13,"New York Islanders",0.941185126082214,"Anaheim Ducks",0.0588148739177864,"Playing At:  New York Islanders   Home","85 <","New York Islanders",1
2023-12-13,"Los Angeles Kings",0.60540112022213,"Winnipeg Jets",0.39459887977787,"Playing At:  Los Angeles Kings   Home","60-70","Winnipeg Jets",0
2023-12-13,"Montreal Canadiens",0.521372998055725,"Pittsburgh Penguins",0.478627001944275,"Playing At:  Montreal Canadiens   Home","55 >","Pittsburgh Penguins",0
2023-12-13,"New Jersey Devils",0.514246875190223,"Boston Bruins",0.485753124809777,"Playing At:  New Jersey Devils   Home","55 >","New Jersey Devils",1
2023-12-14,"Calgary Flames",0.965672744394207,"Minnesota Wild",0.034327255605793,"Playing At:  Minnesota Wild   Home","85 <","Minnesota Wild",0
2023-12-14,"Detroit Red Wings",0.930729859340921,"Carolina Hurricanes",0.0692701406590785,"Playing At:  Detroit Red Wings   Home","85 <","Carolina Hurricanes",0
2023-12-14,"Seattle Kraken",0.854794079045778,"Chicago Blackhawks",0.145205920954222,"Playing At:  Seattle Kraken   Home","85 <","Seattle Kraken",1
2023-12-14,"Philadelphia Flyers",0.72387316155221,"Washington Capitals",0.27612683844779,"Playing At:  Philadelphia Flyers   Home","70-80","Philadelphia Flyers",1
2023-12-14,"St. Louis Blues",0.720670782842444,"Ottawa Senators",0.279329217157556,"Playing At:  St. Louis Blues   Home","70-80","St. Louis Blues",1
2023-12-14,"Edmonton Oilers",0.719927743342037,"Tampa Bay Lightning",0.280072256657963,"Playing At:  Edmonton Oilers   Home","70-80","Tampa Bay Lightning",0
2023-12-14,"Florida Panthers",0.698103000172495,"Vancouver Canucks",0.301896999827505,"Playing At:  Vancouver Canucks   Home","60-70","Vancouver Canucks",0
2023-12-14,"Toronto Maple Leafs",0.584315775088777,"Columbus Blue Jackets",0.415684224911223,"Playing At:  Toronto Maple Leafs   Home","55-60","Columbus Blue Jackets",0
2023-12-15,"New York Rangers",0.971359925195424,"Anaheim Ducks",0.0286400748045764,"Playing At:  New York Rangers   Home","85 <","New York Rangers",1
2023-12-15,"Carolina Hurricanes",0.825340837305409,"Nashville Predators",0.174659162694591,"Playing At:  Carolina Hurricanes   Home","80-85","Nashville Predators",0
2023-12-15,"Arizona Coyotes",0.706591407009572,"San Jose Sharks",0.293408592990428,"Playing At:  Arizona Coyotes   Home","70-80","Arizona Coyotes",1
2023-12-15,"Dallas Stars",0.631152248864782,"Ottawa Senators",0.368847751135218,"Playing At:  Dallas Stars   Home","60-70","Dallas Stars",1
2023-12-15,"New York Islanders",0.545134831631723,"Boston Bruins",0.454865168368277,"Playing At:  New York Islanders   Home","55 >","Boston Bruins",0
2023-12-15,"Vegas Golden Knights",0.539436543193042,"Buffalo Sabres",0.460563456806958,"Playing At:  Vegas Golden Knights   Home","55 >","Buffalo Sabres",0
2023-12-16,"Los Angeles Kings",0.813321481632816,"Seattle Kraken",0.186678518367184,"Playing At:  Seattle Kraken   Home","80-85","Los Angeles Kings",1
2023-12-16,"Nashville Predators",0.759113598784271,"Washington Capitals",0.240886401215729,"Playing At:  Nashville Predators   Home","70-80","Nashville Predators",1
2023-12-16,"Calgary Flames",0.742286875840777,"Tampa Bay Lightning",0.257713124159223,"Playing At:  Calgary Flames   Home","70-80","Calgary Flames",1
2023-12-16,"Arizona Coyotes",0.65441280207012,"Buffalo Sabres",0.34558719792988,"Playing At:  Arizona Coyotes   Home","60-70","Arizona Coyotes",1
2023-12-16,"Philadelphia Flyers",0.654092115283064,"Detroit Red Wings",0.345907884716936,"Playing At:  Philadelphia Flyers   Home","60-70","Philadelphia Flyers",1
2023-12-16,"Florida Panthers",0.652104609011107,"Edmonton Oilers",0.347895390988893,"Playing At:  Edmonton Oilers   Home","60-70","Florida Panthers",1
2023-12-16,"St. Louis Blues",0.626302390869868,"Dallas Stars",0.373697609130132,"Playing At:  St. Louis Blues   Home","60-70","St. Louis Blues",1
2023-12-16,"New York Rangers",0.613752821982161,"Boston Bruins",0.386247178017839,"Playing At:  Boston Bruins   Home","60-70","New York Rangers",1
2023-12-16,"Vancouver Canucks",0.546659271462914,"Minnesota Wild",0.453340728537086,"Playing At:  Minnesota Wild   Home","55 >","Minnesota Wild",0
2023-12-16,"Winnipeg Jets",0.542759861603637,"Colorado Avalanche",0.457240138396363,"Playing At:  Winnipeg Jets   Home","55 >","Winnipeg Jets",1
2023-12-16,"Pittsburgh Penguins",0.522838494942628,"Toronto Maple Leafs",0.477161505057372,"Playing At:  Toronto Maple Leafs   Home","55 >","Toronto Maple Leafs",0
2023-12-16,"New Jersey Devils",0.522051230274295,"Columbus Blue Jackets",0.477948769725705,"Playing At:  Columbus Blue Jackets   Home","55 >","New Jersey Devils",1
2023-12-16,"Montreal Canadiens",0.506971053168622,"New York Islanders",0.493028946831378,"Playing At:  Montreal Canadiens   Home","55 >","Montreal Canadiens",1
2023-12-17,"Colorado Avalanche",0.919491717087205,"San Jose Sharks",0.0805082829127953,"Playing At:  Colorado Avalanche   Home","85 <","Colorado Avalanche",1
2023-12-17,"Vancouver Canucks",0.827997603939621,"Chicago Blackhawks",0.172002396060379,"Playing At:  Chicago Blackhawks   Home","80-85","Vancouver Canucks",1
2023-12-17,"New Jersey Devils",0.793187603808514,"Anaheim Ducks",0.206812396191486,"Playing At:  New Jersey Devils   Home","70-80","Anaheim Ducks",0
2023-12-17,"Vegas Golden Knights",0.653181478564027,"Ottawa Senators",0.346818521435973,"Playing At:  Vegas Golden Knights   Home","60-70","Vegas Golden Knights",1
2023-12-17,"Carolina Hurricanes",0.573632930504607,"Washington Capitals",0.426367069495393,"Playing At:  Carolina Hurricanes   Home","55-60","Washington Capitals",0
2023-12-18,"Pittsburgh Penguins",0.933621547047551,"Minnesota Wild",0.0663784529524489,"Playing At:  Pittsburgh Penguins   Home","85 <","Pittsburgh Penguins",1
2023-12-18,"Winnipeg Jets",0.808757701511922,"Montreal Canadiens",0.191242298488078,"Playing At:  Winnipeg Jets   Home","80-85","Montreal Canadiens",0
2023-12-18,"Detroit Red Wings",0.800744777521633,"Anaheim Ducks",0.199255222478367,"Playing At:  Detroit Red Wings   Home","80-85","Anaheim Ducks",0
2023-12-18,"Dallas Stars",0.765121621727184,"Seattle Kraken",0.234878378272816,"Playing At:  Dallas Stars   Home","70-80","Dallas Stars",1
2023-12-18,"Florida Panthers",0.54268727350994,"Calgary Flames",0.45731272649006,"Playing At:  Calgary Flames   Home","55 >","Calgary Flames",0
2023-12-19,"Carolina Hurricanes",0.882645955041808,"Vegas Golden Knights",0.117354044958192,"Playing At:  Carolina Hurricanes   Home","85 <","Carolina Hurricanes",1
2023-12-19,"Los Angeles Kings",0.800563736186544,"San Jose Sharks",0.199436263813456,"Playing At:  San Jose Sharks   Home","80-85","Los Angeles Kings",1
2023-12-19,"Colorado Avalanche",0.797184475282865,"Chicago Blackhawks",0.202815524717135,"Playing At:  Chicago Blackhawks   Home","70-80","Chicago Blackhawks",0
2023-12-19,"Nashville Predators",0.753627641483869,"Vancouver Canucks",0.246372358516131,"Playing At:  Nashville Predators   Home","70-80","Vancouver Canucks",0
2023-12-19,"Columbus Blue Jackets",0.616705069599606,"Buffalo Sabres",0.383294930400394,"Playing At:  Buffalo Sabres   Home","60-70","Columbus Blue Jackets",1
2023-12-19,"New York Islanders",0.592251747582418,"Edmonton Oilers",0.407748252417582,"Playing At:  New York Islanders   Home","55-60","New York Islanders",1
2023-12-19,"Boston Bruins",0.578830963444715,"Minnesota Wild",0.421169036555285,"Playing At:  Boston Bruins   Home","55-60","Minnesota Wild",0
2023-12-19,"Philadelphia Flyers",0.564306128956301,"New Jersey Devils",0.435693871043699,"Playing At:  New Jersey Devils   Home","55-60","Philadelphia Flyers",1
2023-12-19,"St. Louis Blues",0.552770145062709,"Tampa Bay Lightning",0.447229854937291,"Playing At:  Tampa Bay Lightning   Home","55-60","Tampa Bay Lightning",0
2023-12-19,"New York Rangers",0.543313121590345,"Toronto Maple Leafs",0.456686878409655,"Playing At:  Toronto Maple Leafs   Home","55 >","New York Rangers",1
2023-12-19,"Arizona Coyotes",0.541364499347503,"Ottawa Senators",0.458635500652497,"Playing At:  Arizona Coyotes   Home","55 >","Arizona Coyotes",1
2023-12-20,"Winnipeg Jets",0.831781492320467,"Detroit Red Wings",0.168218507679533,"Playing At:  Winnipeg Jets   Home","80-85","Winnipeg Jets",1
2023-12-20,"Los Angeles Kings",0.797343975541663,"Seattle Kraken",0.202656024458337,"Playing At:  Los Angeles Kings   Home","70-80","Seattle Kraken",0
2023-12-20,"Washington Capitals",0.751973778205081,"New York Islanders",0.248026221794919,"Playing At:  Washington Capitals   Home","70-80","Washington Capitals",1
2023-12-21,"Washington Capitals",0.804103713454725,"Columbus Blue Jackets",0.195896286545275,"Playing At:  Columbus Blue Jackets   Home","80-85","Washington Capitals",1
2023-12-21,"Tampa Bay Lightning",0.754976649070929,"Vegas Golden Knights",0.245023350929071,"Playing At:  Tampa Bay Lightning   Home","70-80","Tampa Bay Lightning",1
2023-12-21,"Calgary Flames",0.731734201343385,"Anaheim Ducks",0.268265798656615,"Playing At:  Anaheim Ducks   Home","70-80","Calgary Flames",1
2023-12-21,"Colorado Avalanche",0.686946344836695,"Ottawa Senators",0.313053655163305,"Playing At:  Colorado Avalanche   Home","60-70","Colorado Avalanche",1
2023-12-21,"Toronto Maple Leafs",0.625730063273344,"Buffalo Sabres",0.374269936726656,"Playing At:  Buffalo Sabres   Home","60-70","Buffalo Sabres",0
2023-12-21,"Minnesota Wild",0.623268659140838,"Montreal Canadiens",0.376731340859162,"Playing At:  Minnesota Wild   Home","60-70","Minnesota Wild",1
2023-12-21,"San Jose Sharks",0.613704063973801,"Arizona Coyotes",0.386295936026199,"Playing At:  San Jose Sharks   Home","60-70","Arizona Coyotes",0
2023-12-21,"Vancouver Canucks",0.580141882949513,"Dallas Stars",0.419858117050487,"Playing At:  Dallas Stars   Home","55-60","Dallas Stars",0
2023-12-21,"Florida Panthers",0.545726796726373,"St. Louis Blues",0.454273203273627,"Playing At:  Florida Panthers   Home","55 >","St. Louis Blues",0
2023-12-21,"Edmonton Oilers",0.544448731563788,"New Jersey Devils",0.455551268436212,"Playing At:  New Jersey Devils   Home","55 >","Edmonton Oilers",1
2023-12-21,"Pittsburgh Penguins",0.526635170324052,"Carolina Hurricanes",0.473364829675948,"Playing At:  Pittsburgh Penguins   Home","55 >","Pittsburgh Penguins",1
2023-12-21,"Nashville Predators",0.50346425145504,"Philadelphia Flyers",0.49653574854496,"Playing At:  Philadelphia Flyers   Home","55 >","Nashville Predators",1
2023-12-22,"New York Rangers",0.829980846410978,"Edmonton Oilers",0.170019153589022,"Playing At:  New York Rangers   Home","80-85","Edmonton Oilers",0
2023-12-22,"Philadelphia Flyers",0.567319170776096,"Detroit Red Wings",0.432680829223904,"Playing At:  Detroit Red Wings   Home","55-60","Detroit Red Wings",0
2023-12-22,"Montreal Canadiens",0.535663031105348,"Chicago Blackhawks",0.464336968894652,"Playing At:  Chicago Blackhawks   Home","55 >","Montreal Canadiens",1
2023-12-22,"Winnipeg Jets",0.52372039854957,"Boston Bruins",0.47627960145043,"Playing At:  Winnipeg Jets   Home","55 >","Winnipeg Jets",1
2023-12-23,"Toronto Maple Leafs",0.908165859277536,"Columbus Blue Jackets",0.0918341407224637,"Playing At:  Columbus Blue Jackets   Home","85 <","Toronto Maple Leafs",1
2023-12-23,"New York Rangers",0.895567103114105,"Buffalo Sabres",0.104432896885895,"Playing At:  New York Rangers   Home","85 <","New York Rangers",1
2023-12-23,"Carolina Hurricanes",0.832782493455962,"New York Islanders",0.167217506544038,"Playing At:  Carolina Hurricanes   Home","80-85","New York Islanders",0
2023-12-23,"Florida Panthers",0.829762252610129,"Vegas Golden Knights",0.170237747389871,"Playing At:  Florida Panthers   Home","80-85","Florida Panthers",1
2023-12-23,"Vancouver Canucks",0.808636994505052,"San Jose Sharks",0.191363005494948,"Playing At:  Vancouver Canucks   Home","80-85","Vancouver Canucks",1
2023-12-23,"Los Angeles Kings",0.751795878109553,"Calgary Flames",0.248204121890447,"Playing At:  Los Angeles Kings   Home","70-80","Los Angeles Kings",1
2023-12-23,"St. Louis Blues",0.739017827251613,"Chicago Blackhawks",0.260982172748387,"Playing At:  St. Louis Blues   Home","70-80","St. Louis Blues",1
2023-12-23,"Seattle Kraken",0.685589900492455,"Anaheim Ducks",0.314410099507545,"Playing At:  Anaheim Ducks   Home","60-70","Seattle Kraken",1
2023-12-23,"Nashville Predators",0.64944002985141,"Dallas Stars",0.35055997014859,"Playing At:  Nashville Predators   Home","60-70","Dallas Stars",0
2023-12-23,"New Jersey Devils",0.605925762967833,"Detroit Red Wings",0.394074237032167,"Playing At:  New Jersey Devils   Home","60-70","New Jersey Devils",1
2023-12-23,"Washington Capitals",0.601929415054356,"Tampa Bay Lightning",0.398070584945644,"Playing At:  Washington Capitals   Home","60-70","Tampa Bay Lightning",0
2023-12-23,"Pittsburgh Penguins",0.573139662784308,"Ottawa Senators",0.426860337215692,"Playing At:  Ottawa Senators   Home","55-60","Ottawa Senators",0
2023-12-23,"Colorado Avalanche",0.568660359596063,"Arizona Coyotes",0.431339640403937,"Playing At:  Colorado Avalanche   Home","55-60","Colorado Avalanche",1
2023-12-23,"Minnesota Wild",0.501947380770783,"Boston Bruins",0.498052619229217,"Playing At:  Minnesota Wild   Home","55 >","Minnesota Wild",1
2023-12-27,"New Jersey Devils",0.863322313751744,"Columbus Blue Jackets",0.136677686248256,"Playing At:  New Jersey Devils   Home","85 <","New Jersey Devils",1
2023-12-27,"Vegas Golden Knights",0.863011025811808,"Anaheim Ducks",0.136988974188192,"Playing At:  Anaheim Ducks   Home","85 <","Anaheim Ducks",0
2023-12-27,"New York Rangers",0.806696876524108,"Washington Capitals",0.193303123475892,"Playing At:  New York Rangers   Home","80-85","New York Rangers",1
2023-12-27,"Calgary Flames",0.790245561517342,"Seattle Kraken",0.209754438482658,"Playing At:  Calgary Flames   Home","70-80","Seattle Kraken",0
2023-12-27,"Winnipeg Jets",0.789879327321569,"Chicago Blackhawks",0.210120672678431,"Playing At:  Chicago Blackhawks   Home","70-80","Chicago Blackhawks",0
2023-12-27,"Detroit Red Wings",0.783313043931174,"Minnesota Wild",0.216686956068826,"Playing At:  Minnesota Wild   Home","70-80","Minnesota Wild",0
2023-12-27,"Los Angeles Kings",0.732412167446359,"San Jose Sharks",0.267587832553641,"Playing At:  Los Angeles Kings   Home","70-80","Los Angeles Kings",1
2023-12-27,"Arizona Coyotes",0.668948177521161,"Colorado Avalanche",0.331051822478839,"Playing At:  Arizona Coyotes   Home","60-70","Arizona Coyotes",1
2023-12-27,"Boston Bruins",0.645959277705292,"Buffalo Sabres",0.354040722294708,"Playing At:  Buffalo Sabres   Home","60-70","Boston Bruins",1
2023-12-27,"Toronto Maple Leafs",0.619907052021152,"Ottawa Senators",0.380092947978848,"Playing At:  Toronto Maple Leafs   Home","60-70","Ottawa Senators",0
2023-12-27,"St. Louis Blues",0.613462996918449,"Dallas Stars",0.386537003081551,"Playing At:  St. Louis Blues   Home","60-70","St. Louis Blues",1
2023-12-27,"Nashville Predators",0.597828380735814,"Carolina Hurricanes",0.402171619264186,"Playing At:  Nashville Predators   Home","55-60","Carolina Hurricanes",0
2023-12-27,"New York Islanders",0.584800750582366,"Pittsburgh Penguins",0.415199249417634,"Playing At:  New York Islanders   Home","55-60","Pittsburgh Penguins",0
2023-12-27,"Florida Panthers",0.551312004287771,"Tampa Bay Lightning",0.448687995712229,"Playing At:  Tampa Bay Lightning   Home","55-60","Florida Panthers",1
2023-12-28,"Carolina Hurricanes",0.861459272492021,"Montreal Canadiens",0.138540727507979,"Playing At:  Carolina Hurricanes   Home","85 <","Carolina Hurricanes",1
2023-12-28,"Philadelphia Flyers",0.692804610130072,"Vancouver Canucks",0.307195389869928,"Playing At:  Vancouver Canucks   Home","60-70","Philadelphia Flyers",1
2023-12-28,"San Jose Sharks",0.676576748541743,"Edmonton Oilers",0.323423251458257,"Playing At:  San Jose Sharks   Home","60-70","Edmonton Oilers",0
2023-12-28,"Vegas Golden Knights",0.561204734707643,"Los Angeles Kings",0.438795265292357,"Playing At:  Vegas Golden Knights   Home","55-60","Vegas Golden Knights",1
2023-12-29,"Philadelphia Flyers",0.922405742515651,"Seattle Kraken",0.0775942574843489,"Playing At:  Seattle Kraken   Home","85 <","Seattle Kraken",0
2023-12-29,"Arizona Coyotes",0.872708704774405,"Anaheim Ducks",0.127291295225595,"Playing At:  Anaheim Ducks   Home","85 <","Arizona Coyotes",1
2023-12-29,"Dallas Stars",0.747669606882183,"Chicago Blackhawks",0.252330393117817,"Playing At:  Dallas Stars   Home","70-80","Dallas Stars",1
2023-12-29,"Toronto Maple Leafs",0.727253675825725,"Columbus Blue Jackets",0.272746324174275,"Playing At:  Columbus Blue Jackets   Home","70-80","Columbus Blue Jackets",0
2023-12-29,"New York Rangers",0.615210265196577,"Florida Panthers",0.384789734803423,"Playing At:  Florida Panthers   Home","60-70","Florida Panthers",0
2023-12-29,"Colorado Avalanche",0.598113617983434,"St. Louis Blues",0.401886382016566,"Playing At:  St. Louis Blues   Home","55-60","Colorado Avalanche",1
2023-12-29,"New York Islanders",0.539849174537523,"Washington Capitals",0.460150825462477,"Playing At:  New York Islanders   Home","55 >","New York Islanders",1
2023-12-29,"New Jersey Devils",0.525253737184802,"Ottawa Senators",0.474746262815198,"Playing At:  Ottawa Senators   Home","55 >","New Jersey Devils",1
2023-12-29,"Nashville Predators",0.521575735611699,"Detroit Red Wings",0.478424264388301,"Playing At:  Detroit Red Wings   Home","55 >","Detroit Red Wings",0
2023-12-30,"Winnipeg Jets",0.857078604380028,"Minnesota Wild",0.142921395619972,"Playing At:  Winnipeg Jets   Home","85 <","Winnipeg Jets",1
2023-12-30,"Los Angeles Kings",0.78753523179812,"Edmonton Oilers",0.21246476820188,"Playing At:  Los Angeles Kings   Home","70-80","Edmonton Oilers",0
2023-12-30,"Boston Bruins",0.762780643842928,"New Jersey Devils",0.237219356157072,"Playing At:  Boston Bruins   Home","70-80","Boston Bruins",1
2023-12-30,"Florida Panthers",0.718902758520654,"Montreal Canadiens",0.281097241479346,"Playing At:  Florida Panthers   Home","70-80","Florida Panthers",1
2023-12-30,"Buffalo Sabres",0.70680052703749,"Columbus Blue Jackets",0.29319947296251,"Playing At:  Buffalo Sabres   Home","70-80","Buffalo Sabres",1
2023-12-30,"Pittsburgh Penguins",0.691678805393595,"St. Louis Blues",0.308321194606405,"Playing At:  Pittsburgh Penguins   Home","60-70","Pittsburgh Penguins",1
2023-12-30,"Carolina Hurricanes",0.609415079005201,"Toronto Maple Leafs",0.390584920994799,"Playing At:  Toronto Maple Leafs   Home","60-70","Carolina Hurricanes",1
2023-12-30,"New York Rangers",0.548750331875812,"Tampa Bay Lightning",0.451249668124188,"Playing At:  Tampa Bay Lightning   Home","55 >","New York Rangers",1
2023-12-30,"Nashville Predators",0.529908573821303,"Washington Capitals",0.470091426178697,"Playing At:  Washington Capitals   Home","55 >","Nashville Predators",1
2023-12-31,"Edmonton Oilers",0.900289773824858,"Anaheim Ducks",0.0997102261751425,"Playing At:  Anaheim Ducks   Home","85 <","Edmonton Oilers",1
2023-12-31,"Dallas Stars",0.843831633276077,"Chicago Blackhawks",0.156168366723923,"Playing At:  Dallas Stars   Home","80-85","Dallas Stars",1
2023-12-31,"Ottawa Senators",0.793095192901023,"Buffalo Sabres",0.206904807098977,"Playing At:  Ottawa Senators   Home","70-80","Ottawa Senators",1
2023-12-31,"Winnipeg Jets",0.792209952191404,"Minnesota Wild",0.207790047808596,"Playing At:  Minnesota Wild   Home","70-80","Winnipeg Jets",1
2023-12-31,"Tampa Bay Lightning",0.757095756150246,"Montreal Canadiens",0.242904243849754,"Playing At:  Tampa Bay Lightning   Home","70-80","Tampa Bay Lightning",1
2023-12-31,"Colorado Avalanche",0.702259712309195,"San Jose Sharks",0.297740287690805,"Playing At:  Colorado Avalanche   Home","70-80","Colorado Avalanche",1
2023-12-31,"Pittsburgh Penguins",0.649755796894943,"New York Islanders",0.350244203105057,"Playing At:  Pittsburgh Penguins   Home","60-70","Pittsburgh Penguins",1
2023-12-31,"Philadelphia Flyers",0.606499346052296,"Calgary Flames",0.393500653947704,"Playing At:  Calgary Flames   Home","60-70","Calgary Flames",0
2023-12-31,"Detroit Red Wings",0.518594220930859,"Boston Bruins",0.481405779069141,"Playing At:  Detroit Red Wings   Home","55 >","Boston Bruins",0
2024-01-01,"Vegas Golden Knights",0.62106882864395,"Seattle Kraken",0.37893117135605,"Playing At:  Seattle Kraken   Home","60-70","Seattle Kraken",0
2024-01-02,"Nashville Predators",0.919943984707128,"Chicago Blackhawks",0.0800560152928715,"Playing At:  Nashville Predators   Home","85 <","Nashville Predators",1
2024-01-02,"Vancouver Canucks",0.84197928635438,"Ottawa Senators",0.15802071364562,"Playing At:  Vancouver Canucks   Home","80-85","Vancouver Canucks",1
2024-01-02,"Winnipeg Jets",0.748078531459384,"Tampa Bay Lightning",0.251921468540616,"Playing At:  Winnipeg Jets   Home","70-80","Winnipeg Jets",1
2024-01-02,"Boston Bruins",0.695120670377865,"Columbus Blue Jackets",0.304879329622135,"Playing At:  Columbus Blue Jackets   Home","60-70","Boston Bruins",1
2024-01-02,"Minnesota Wild",0.667666101469065,"Calgary Flames",0.332333898530935,"Playing At:  Minnesota Wild   Home","60-70","Calgary Flames",0
2024-01-02,"Philadelphia Flyers",0.658333658236503,"Edmonton Oilers",0.341666341763497,"Playing At:  Edmonton Oilers   Home","60-70","Edmonton Oilers",0
2024-01-02,"Los Angeles Kings",0.650626426105977,"Toronto Maple Leafs",0.349373573894023,"Playing At:  Los Angeles Kings   Home","60-70","Toronto Maple Leafs",0
2024-01-02,"New York Rangers",0.649484874733974,"Carolina Hurricanes",0.350515125266026,"Playing At:  New York Rangers   Home","60-70","Carolina Hurricanes",0
2024-01-02,"Detroit Red Wings",0.634739780258055,"San Jose Sharks",0.365260219741945,"Playing At:  San Jose Sharks   Home","60-70","Detroit Red Wings",1
