Date,Visitor,G,Home,G,,Att.,LOG,Notes
2/15/2024,Anaheim Ducks,,Ottawa Senators,,,,,
2/15/2024,Edmonton Oilers,,St. Louis Blues,,,,,
2/15/2024,Colorado Avalanche,,Tampa Bay Lightning,,,,,
2/15/2024,Philadelphia Flyers,,Toronto Maple Leafs,,,,,
2/15/2024,Detroit Red Wings,,Vancouver Canucks,,,,,
2/16/2024,Carolina Hurricanes,,Arizona Coyotes,,,,,
2/17/2024,Los Angeles Kings,,Boston Bruins,,,,,
2/17/2024,Detroit Red Wings,,Calgary Flames,,,,,
2/17/2024,Ottawa Senators,,Chicago Blackhawks,,,,,
2/17/2024,Edmonton Oilers,,Dallas Stars,,,,,
2/17/2024,Buffalo Sabres,,Minnesota Wild,,,,,
2/17/2024,Washington Capitals,,Montreal Canadiens,,,,,
2/17/2024,Philadelphia Flyers,,New Jersey Devils,,,,,at MetLife Stadium (East Rutherford NJ)
2/17/2024,Columbus Blue Jackets,,San Jose Sharks,,,,,
2/17/2024,Nashville Predators,,St. Louis Blues,,,,,
2/17/2024,Florida Panthers,,Tampa Bay Lightning,,,,,
2/17/2024,Anaheim Ducks,,Toronto Maple Leafs,,,,,
2/17/2024,Winnipeg Jets,,Vancouver Canucks,,,,,
2/17/2024,Carolina Hurricanes,,Vegas Golden Knights,,,,,
2/18/2024,Arizona Coyotes,,Colorado Avalanche,,,,,
2/18/2024,New York Rangers,,New York Islanders,,,,,at MetLife Stadium (East Rutherford NJ)
2/18/2024,Los Angeles Kings,,Pittsburgh Penguins,,,,,
2/19/2024,Edmonton Oilers,,Arizona Coyotes,,,,,
2/19/2024,Dallas Stars,,Boston Bruins,,,,,
2/19/2024,Anaheim Ducks,,Buffalo Sabres,,,,,
2/19/2024,Chicago Blackhawks,,Carolina Hurricanes,,,,,
2/19/2024,Winnipeg Jets,,Calgary Flames,,,,,
2/19/2024,Vancouver Canucks,,Minnesota Wild,,,,,
2/19/2024,Detroit Red Wings,,Seattle Kraken,,,,,
2/19/2024,Vegas Golden Knights,,San Jose Sharks,,,,,
2/19/2024,Toronto Maple Leafs,,St. Louis Blues,,,,,
2/19/2024,Ottawa Senators,,Tampa Bay Lightning,,,,,
2/20/2024,Vancouver Canucks,,Colorado Avalanche,,,,,
2/20/2024,Ottawa Senators,,Florida Panthers,,,,,
2/20/2024,Columbus Blue Jackets,,Los Angeles Kings,,,,,
2/20/2024,Dallas Stars,,New York Rangers,,,,,
2/20/2024,New York Islanders,,Pittsburgh Penguins,,,,,
2/20/2024,Nashville Predators,,Vegas Golden Knights,,,,,
2/20/2024,Minnesota Wild,,Winnipeg Jets,,,,,
2/20/2024,New Jersey Devils,,Washington Capitals,,,,,
2/21/2024,Columbus Blue Jackets,,Anaheim Ducks,,,,,
2/21/2024,Toronto Maple Leafs,,Arizona Coyotes,,,,,
2/21/2024,Philadelphia Flyers,,Chicago Blackhawks,,,,,
2/21/2024,Boston Bruins,,Edmonton Oilers,,,,,
2/21/2024,Buffalo Sabres,,Montreal Canadiens,,,,,
2/22/2024,Florida Panthers,,Carolina Hurricanes,,,,,
2/22/2024,Boston Bruins,,Calgary Flames,,,,,
2/22/2024,Colorado Avalanche,,Detroit Red Wings,,,,,
2/22/2024,Nashville Predators,,Los Angeles Kings,,,,,
2/22/2024,New York Rangers,,New Jersey Devils,,,,,
2/22/2024,Dallas Stars,,Ottawa Senators,,,,,
2/22/2024,Montreal Canadiens,,Pittsburgh Penguins,,,,,
2/22/2024,Vancouver Canucks,,Seattle Kraken,,,,,
2/22/2024,New York Islanders,,St. Louis Blues,,,,,
2/22/2024,Washington Capitals,,Tampa Bay Lightning,,,,,
2/22/2024,Toronto Maple Leafs,,Vegas Golden Knights,,,,,
2/23/2024,Buffalo Sabres,,Columbus Blue Jackets,,,,,
2/23/2024,Winnipeg Jets,,Chicago Blackhawks,,,,,
2/23/2024,Minnesota Wild,,Edmonton Oilers,,,,,
2/24/2024,Dallas Stars,,Carolina Hurricanes,,,,,
2/24/2024,Toronto Maple Leafs,,Colorado Avalanche,,,,,
2/24/2024,St. Louis Blues,,Detroit Red Wings,,,,,
2/24/2024,Calgary Flames,,Edmonton Oilers,,,,,
2/24/2024,Washington Capitals,,Florida Panthers,,,,,
2/24/2024,Anaheim Ducks,,Los Angeles Kings,,,,,
2/24/2024,Montreal Canadiens,,New Jersey Devils,,,,,
2/24/2024,Tampa Bay Lightning,,New York Islanders,,,,,
2/24/2024,Vegas Golden Knights,,Ottawa Senators,,,,,
2/24/2024,New York Rangers,,Philadelphia Flyers,,,,,
2/24/2024,Minnesota Wild,,Seattle Kraken,,,,,
2/24/2024,Nashville Predators,,San Jose Sharks,,,,,
2/24/2024,Boston Bruins,,Vancouver Canucks,,,,,
2/25/2024,Nashville Predators,,Anaheim Ducks,,,,,
2/25/2024,Carolina Hurricanes,,Buffalo Sabres,,,,,
2/25/2024,New York Rangers,,Columbus Blue Jackets,,,,,
2/25/2024,Detroit Red Wings,,Chicago Blackhawks,,,,,
2/25/2024,Tampa Bay Lightning,,New Jersey Devils,,,,,
2/25/2024,Philadelphia Flyers,,Pittsburgh Penguins,,,,,
2/25/2024,Arizona Coyotes,,Winnipeg Jets,,,,,
2/26/2024,New York Islanders,,Dallas Stars,,,,,
2/26/2024,Los Angeles Kings,,Edmonton Oilers,,,,,
2/26/2024,Boston Bruins,,Seattle Kraken,,,,,
2/26/2024,Ottawa Senators,,Washington Capitals,,,,,
2/27/2024,Los Angeles Kings,,Calgary Flames,,,,,
2/27/2024,Dallas Stars,,Colorado Avalanche,,,,,
2/27/2024,Washington Capitals,,Detroit Red Wings,,,,,
2/27/2024,Buffalo Sabres,,Florida Panthers,,,,,
2/27/2024,Carolina Hurricanes,,Minnesota Wild,,,,,
2/27/2024,Arizona Coyotes,,Montreal Canadiens,,,,,
2/27/2024,Ottawa Senators,,Nashville Predators,,,,,
2/27/2024,Tampa Bay Lightning,,Philadelphia Flyers,,,,,
2/27/2024,New Jersey Devils,,San Jose Sharks,,,,,
2/27/2024,Vegas Golden Knights,,Toronto Maple Leafs,,,,,
2/27/2024,Pittsburgh Penguins,,Vancouver Canucks,,,,,
2/27/2024,St. Louis Blues,,Winnipeg Jets,,,,,
2/28/2024,St. Louis Blues,,Edmonton Oilers,,,,,
2/28/2024,Columbus Blue Jackets,,New York Rangers,,,,,
2/29/2024,Vegas Golden Knights,,Boston Bruins,,,,,
2/29/2024,Carolina Hurricanes,,Columbus Blue Jackets,,,,,
2/29/2024,Colorado Avalanche,,Chicago Blackhawks,,,,,
2/29/2024,Winnipeg Jets,,Dallas Stars,,,,,
2/29/2024,New York Islanders,,Detroit Red Wings,,,,,
2/29/2024,Montreal Canadiens,,Florida Panthers,,,,,
2/29/2024,Minnesota Wild,,Nashville Predators,,,,,
2/29/2024,Pittsburgh Penguins,,Seattle Kraken,,,,,
2/29/2024,Anaheim Ducks,,San Jose Sharks,,,,,
2/29/2024,Buffalo Sabres,,Tampa Bay Lightning,,,,,
2/29/2024,Arizona Coyotes,,Toronto Maple Leafs,,,,,
2/29/2024,Los Angeles Kings,,Vancouver Canucks,,,,,
