Date,Visitor,G,Home,G,,Att.,LOG,Notes
10/7/2022,San Jose Sharks,1,Nashville Predators,4,,16648,2:43,at O2 Arena (Prague CZ)
10/8/2022,Nashville Predators,3,San Jose Sharks,2,,17023,2:33,at O2 Arena (Prague CZ)
10/11/2022,Vegas Golden Knights,4,Los Angeles Kings,3,,18230,2:31,
10/11/2022,Tampa Bay Lightning,1,New York Rangers,3,,18006,2:21,
10/12/2022,Seattle Kraken,4,Anaheim Ducks,5,OT,17530,2:28,
10/12/2022,Columbus Blue Jackets,1,Carolina Hurricanes,4,,18824,2:37,
10/12/2022,Chicago Blackhawks,2,Colorado Avalanche,5,,18143,2:19,
10/12/2022,Vancouver Canucks,3,Edmonton Oilers,5,,18347,2:41,
10/12/2022,Toronto Maple Leafs,3,Montreal Canadiens,4,,21105,2:30,
10/12/2022,Boston Bruins,5,Washington Capitals,2,,18573,2:28,
10/13/2022,Ottawa Senators,1,Buffalo Sabres,4,,15364,2:21,
10/13/2022,Colorado Avalanche,3,Calgary Flames,5,,19289,2:35,
10/13/2022,Seattle Kraken,4,Los Angeles Kings,1,,15645,2:28,
10/13/2022,New York Rangers,7,Minnesota Wild,3,,18612,2:31,
10/13/2022,Dallas Stars,4,Nashville Predators,1,,17692,2:26,
10/13/2022,Florida Panthers,3,New York Islanders,1,,17255,2:36,
10/13/2022,New Jersey Devils,2,Philadelphia Flyers,5,,19107,2:34,
10/13/2022,Arizona Coyotes,2,Pittsburgh Penguins,6,,18355,2:34,
10/13/2022,Washington Capitals,2,Toronto Maple Leafs,3,,18914,2:31,
10/13/2022,Chicago Blackhawks,0,Vegas Golden Knights,1,,18467,2:27,
10/14/2022,Tampa Bay Lightning,5,Columbus Blue Jackets,2,,18889,2:25,
10/14/2022,Montreal Canadiens,0,Detroit Red Wings,3,,19515,2:30,
10/14/2022,Carolina Hurricanes,2,San Jose Sharks,1,,17562,2:27,
10/14/2022,New York Rangers,1,Winnipeg Jets,4,,14553,2:26,
10/15/2022,Arizona Coyotes,3,Boston Bruins,6,,17850,2:33,
